NAME,SMILES
CHEMBL2028389,CC1(C)S[C@@H]2[C@H](NC(=O)/C=C/c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
CHEMBL2361426,O=C(CSc1ccccn1)NC1CCCc2c1cnn2-c1ccccc1F
CHEMBL456835,C=C1[C@H](O)CC(=C/C=C/C[C@H](C)C[C@@H](C)CCCC(C)(C)O)C[C@H]1O
CHEMBL2369789,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)Cc1cccc2ccccc12
CHEMBL2064432,Cc1nc(C(NC(=O)C(=O)NC2CCCCCC2)C2CCCCN2)sc1CO
CHEMBL4095176,C[C@H](NC(=O)c1cc(Cl)ccc1Oc1cccc(Cl)c1)c1ccc(C(=O)O)cc1
CHEMBL3445448,Cn1nc(C(=O)NCc2ccccc2C(F)(F)F)c2c1CCS(=O)(=O)C2
CHEMBL1396185,COc1ccc(NC(=O)c2c(-c3ccc(C)cc3)nnc3ccccc23)cc1OC
CHEMBL1713641,CCN(CC)c1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)CNCc1cccc(Cl)c1
CHEMBL1720709,CCOc1ccc2nc(NC(=O)CN3CCOCC3)sc2c1
CHEMBL1444542,CSc1nccc(-c2nn(-c3ccc(C)cc3)ccc2=O)n1
CHEMBL4968704,CCCN(CC1CC1)C(=O)Nc1cccc(-c2nnc(C)s2)c1
CHEMBL1995509,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)N1Cc3ccccc3CCN21
CHEMBL3504124,COCC1CC2(CCN(Cc3ccco3)CC2)CN1C(C)C.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
CHEMBL2071523,O=C1OC(O)C(c2cccc(C(=O)NCc3ccccc3)c2)=C1Br
CHEMBL5207804,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@H]1CNCCO1)S(=O)(=O)c1ccc(N)cc1
CHEMBL382367,CCOCC(=O)N1CCN(C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1C(=O)NCc1cccnc1
CHEMBL221527,Oc1ccc(CN2CCCNCCNCCCNCC2)c2cccnc12
CHEMBL4518462,C=CCOc1cc(C)cc(C(=O)NNS(=O)(=O)c2ccccc2F)c1
CHEMBL173786,C=CCCC(=O)NCCc1ccc(S(=O)(=O)N2CCN(C3CCCCC3)C2=N)cc1
CHEMBL3900288,Cc1c(N(Cc2cccc(OC(F)(F)F)c2)S(=O)(=O)CCCO)sc2ccccc12
CHEMBL5016796,C[C@H]1CN(C(=O)c2ccnc3[nH]c(CC4CC4)nc23)C2(CCC2)CO1
CHEMBL3923433,COC1CCN(c2cccc3c2CCN(C(=O)C2CC4(CCNCC4)C2)C3C(=O)Nc2ccc(C(=O)O)cc2)CC1
CHEMBL2139008,CCNC(=O)C1CCCN(C(=O)c2c(-c3ccccc3)noc2C)CC1
CHEMBL2358396,O=C(c1cc(C2CC2)nn1-c1ccccc1)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1
CHEMBL3696447,CC(C)[C@H](CO)NCc1nc(C#CCCC2CCCCC2)ccc1F
CHEMBL1651221,O=C(O)c1cc(-c2cccc(COc3ccc4c(c3)CCN(C3CCCC3)C4=O)c2)ccc1Cl
CHEMBL3237421,Clc1cccc(Cc2noc(-c3sc4ccccc4c3OC3CCNCC3)n2)c1
CHEMBL2298677,COC(=O)/N=C(/N)c1cc(=O)oc2ccccc12
CHEMBL3500770,CC(C)CNC(=O)[C@H]1CCS(=O)(=O)[C@@H]2CN(Cc3cccc(Cl)c3)C[C@H]12.O=C(O)C(F)(F)F
CHEMBL259629,O=c1[nH]c(OCc2ccccc2)ccc1Cc1ccccc1
CHEMBL2238506,COc1cccc(CC(=O)NNC(=O)Nc2ccccc2OC)c1
CHEMBL4793193,O=C(Cn1c(CCNC(=O)c2ccncc2)nc2ccccc21)Nc1ccc2c(c1)CCC2
CHEMBL551111,OCCN1CCCCC1C1C[C@@H]2CC[C@@H](C1)N2C(c1ccccc1Cl)c1ccccc1Cl
CHEMBL4952596,CCc1nccn1CCC(=O)NCC1CCN(C(=O)c2nccnc2O)CC1
CHEMBL3464138,Cc1cc(CNc2ccc3nc(C4CC4)sc3c2)no1
CHEMBL435039,c1ccc(CNC23CCCCC2Cc2ccsc23)cc1
CHEMBL1325898,CN(C(=O)CSc1nc2ccccc2n1CCc1ccccc1)C1CCS(=O)(=O)C1
CHEMBL3309296,O=C(CCCCCCS(=O)(=O)Nc1ccc2c(c1)CCC(=O)N2)NO
CHEMBL2313547,N#Cc1cnc(C#N)c(NCc2cccc([N+](=O)[O-])c2)n1
CHEMBL2138513,Cc1ccc(S(=O)(=O)N[C@@H](C)CO)cc1
